Player Name,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Asghar Afghan,674.0,592.0,525.0,424.0,362.0,308.0,218.0,175.0,109.0,94.0,30.0
Fareed Ahmad,1.0,1.0,1.0,0,0
Javed Ahmadi,446.0,422.0,346.0,265.0,226.0,145.0,78.0,35.0
Dawlat Ahmadzai,0,0
Raees Ahmadzai,56.0,22.5
Yamin Ahmadzai,7.0,5.0,4.0,1.0
Aftab Alam,43.0,38.0,22.0,22.0,8.0,7.0,7.0,6.0
Mirwais Ashraf,188.0,170.0,142.0,90.0,62.0,50.0,40.0,17.0
Sharafuddin Ashraf,41.0,35.0,14.0,14.0
Rokhan Barakzai,0
Izatullah Dawlatzai,9.0,7.0,7.0,6.0
Usman Ghani,351.0,278.0,252.0,229.0,187.0,118.0
Hasti Gul,0
Amir Hamza,36.0,15.0,11.0,7.0,6.0,3.0
Hamid Hassan,57.0,57.0,51.0,35.0,29.0,23.0,22.0,0.0
Ihsanullah,142.0,77.0,20.0
Nasir Jamal,195.0,144.0,91.0,39.0
Karim Janat,47.0,47.0,47.0,25.0
Rashid Khan,240.0,188.0,131.0,75.0,15.0
Zahir Khan,0
Ikram Ali Khil,6.5
Nowroz Mangal,554.0,520.0,487.0,422.0,293.0,181.0,136.0,102.0,32.0
Abdullah Mazari,3.0
Mohammad Nabi,782.0,701.0,609.0,520.0,468.0,352.0,275.0,224.0,178.0,120.0,58.0
Gulbadin Naib,427.0,381.0,307.0,256.0,174.0,118.0,87.0,44.0,0.0
Naveen-ul-Haq,0
Khaleqdaad Noori,20.0,0.0
Shabir Noori,156.0,147.0,132.0,38.0
Noor-ul-Haq,6.0
Mohibullah Oryakhel,0
Karim Sadiq,440.0,412.0,340.0,314.0,302.0,268.0,168.0,134.0,20.0
Shafiqullah,252.0,240.0,216.0,166.0,131.0,96.0,40.0,31.0,23.0,0
Ahmed Shah,2.0
Rahmat Shah,493.0,380.0,266.0,158.0,58.0,35.0
Hashmatullah Shahidi,313.0,252.0,155.0,123.0,51.0,13.0
Mohammad Shahzad,990.0,889.0,765.0,685.0,567.0,436.0,368.0,313.0,236.0,228.0,110.0
Samiullah Shenwari,607.0,590.0,541.0,479.0,436.0,340.0,258.0,203.0,142.0,134.0,52.0
Sayed Shirzad,1.0,1.0,1.0
Najeeb Tarakai,154.0,137.0,47.0,7.0
Mujeeb Ur Rahman,20.0,19.0,4.0
Dawlat Zadran,190.0,188.0,141.0,100.0,69.0,44.0,20.0,12.0,0.0
Najibullah Zadran,484.0,380.0,299.0,254.0,165.0,82.0,61.0,23.0
Noor Ali Zadran,460.0,451.0,400.0,337.0,274.0,221.0,171.0,160.0,159.0,45.0
Shapoor Zadran,69.0,69.0,62.0,61.0,59.0,47.0,40.0,27.0,18.0,1.0
Zakiullah Zaki,0
Afsar Zazai,136.0,130.0,117.0,69.0,9.0
Hazratullah Zazai,262.0,100.0,18.0
Nicky Boje,489.0,441.0,359.0,309.0,280.0,228.0,182.0,53.0,41.0,13.0,0
Loots Bosman,331.0,263.0,169.0,141.0,88.0
Johan Botha,222.0,208.0,164.0,136.0,115.0,89.0,61.0,15.0
Mark Boucher,1342.0,1296.0,1231.0,1136.0,1047.0,930.0,852.0,705.0,641.0,519.0,447.0,377.0,285.0,209.0,84.0,6.0
Elton Chigumbura,960.0,923.0,869.0,752.0,662.0,576.0,513.0,466.0,416.0,337.0,295.0,218.0,148.0,77.0
A. B. de Villiers,2315.0,2189.0,2013.0,1912.0,1750.0,1598.0,1434.0,1265.0,1131.0,853.0,690.0,473.0,327.0,230.0,52.0
Boeta Dippenaar,909.0,842.0,717.0,594.0,484.0,307.0,214.0,133.0,33.0
Jacques Kallis,2687.0,2683.0,2568.0,2344.0,2183.0,1982.0,1862.0,1730.0,1544.0,1425.0,1276.0,1114.0,937.0,798.0,609.0,449.0,301.0,169.0,68.0,1.0
Justin Kemp,325.0,236.0,136.0,56.0,46.0
Albie Morkel,357.0,357.0,339.0,298.0,258.0,200.0,163.0,66.0,39.0,23.0
Morné Morkel,384.0,364.0,324.0,292.0,270.0,248.0,229.0,194.0,166.0,131.0,91.0,56.0,31.0
Thomas Odoyo,712.0,710.0,703.0,652.0,600.0,564.0,519.0,408.0,324.0,321.0,306.0,260.0,223.0,170.0,135.0,94.0,73.0,32.0
Peter Ongondo,141.0,135.0,117.0,107.0,91.0,64.0,62.0,38.0,36.0,0.0
Justin Ontong,185.0,166.0,166.0,118.0,118.0,91.0,80.0,64.0,32.0
Shaun Pollock
Ashwell Prince,934.0,884.0,806.0,656.0,494.0,356.0,235.0,96.0,49.0
Jacques Rudolph,717.0,612.0,568.0,478.0,376.0,222.0
Vusi Sibanda,942.0,883.0,834.0,789.0,686.0,675.0,579.0,484.0,407.0,348.0,252.0,136.0,115.0,58.0
Graeme Smith,2052.0,2038.0,1804.0,1673.0,1572.0,1389.0,1248.0,1016.0,883.0,764.0,616.0,477.0,200.0
Dale Steyn,500.0,485.0,425.0,412.0,395.0,337.0,293.0,267.0,224.0,185.0,138.0,62.0,29.0,16.0,8.0
Heath Streak,740.0,655.0,587.0,460.0,410.0,323.0,269.0,230.0,171.0,128.0,92.0,39.0,19.0
Tatenda Taibu,919.0,869.0,771.0,693.0,590.0,509.0,402.0,249.0,153.0,70.0,19.0
Steve Tikolo,1060.0,1053.0,1013.0,1000.0,943.0,883.0,781.0,692.0,581.0,538.0,536.0,480.0,387.0,316.0,311.0,205.0,128.0,96.0
Monde Zondeki,76.0,76.0,76.0,62.0,3.0
Shahid Afridi,1802.0,1791.0,1742.0,1675.0,1614.0,1526.0,1474.0,1399.0,1275.0,1205.0,1120.0,1043.0,887.0,765.0,685.0,676.0,568.0,498.0,424.0,283.0,174.0,102.0
Shoaib Akhtar,306.0,304.0,296.0,271.0,271.0,267.0,220.0,182.0,154.0,111.0,74.0,71.0,45.0,37.0,1.0
Mohammad Ashraful,1377.0,1187.0,1149.0,1076.0,1001.0,898.0,789.0,660.0,524.0,424.0,266.0,189.0,114.0
Mohammad Asif,72.0,43.0,33.0,28.0,18.0,12.0
Mahendra Singh Dhoni,1855.0,1768.0,1716.0,1582.0,1502.0,1410.0,1328.0,1104.0,991.0,847.0,715.0,591.0,482.0,343.0,195.0,12.0
Rahul Dravid,2758.0,2711.0,2565.0,2374.0,2197.0,2061.0,1932.0,1786.0,1651.0,1381.0,1148.0,931.0,751.0,551.0,361.0,243.0,95.0
Dilhara Fernando,187.0,186.0,186.0,147.0,141.0,122.0,110.0,74.0,53.0,49.0,45.0,32.0,17.0,5.0
Sourav Ganguly,1753.0,1651.0,1412.0,1361.0,1260.0,1170.0,1026.0,890.0,763.0,619.0,436.0,312.0,139.0,3.0
Inzamam-ul-Haq,2451.0,2359.0,2240.0,2056.0,1933.0,1795.0,1466.0,1336.0,1194.0,994.0,878.0,701.0,553.0,437.0,300.0,177.0,60.0
Sanath Jayasuriya,2660.0,2652.0,2646.0,2539.0,2409.0,2294.0,2137.0,2070.0,1817.0,1695.0,1550.0,1439.0,1250.0,1162.0,949.0,609.0,475.0,418.0,278.0,213.0,132.0,55.0,24.0
Mahela Jayawardene,3351.0,3247.0,3044.0,2937.0,2757.0,2613.0,2439.0,2164.0,1998.0,1785.0,1411.0,1270.0,1033.0,899.0,792.0,642.0,475.0,233.0,66.0
Zaheer Khan,578.0,556.0,527.0,492.0,468.0,435.0,384.0,327.0,296.0,259.0,232.0,157.0,123.0,77.0,32.0
Anil Kumble,790.0,703.0,593.0,535.0,498.0,472.0,451.0,417.0,380.0,344.0,316.0,277.0,199.0,111.0,99.0,47.0,23.0,2.0,2.0
Mashrafe Mortaza,634.0,621.0,585.0,555.0,511.0,490.0,451.0,437.0,407.0,407.0,385.0,322.0,274.0,195.0,144.0,96.0,57.0,29.0
Muttiah Muralitharan,481.0,474.0,469.0,436.0,423.0,408.0,375.0,339.0,296.0,258.0,231.0,164.0,142.0,130.0,100.0,61.0,54.0,43.0,23.0,4.0
Ashish Nehra,122.0,122.0,116.0,110.0,94.0,72.0,63.0,49.0,41.0,17.0,0
Mohammad Rafique,544.0,530.0,490.0,425.0,353.0,242.0,201.0,182.0,160.0,138.0,109.0,32.0,13.0
Abdul Razzaq,1084.0,1074.0,1052.0,990.0,881.0,846.0,819.0,729.0,641.0,534.0,458.0,324.0,214.0,114.0,54.0,8.0,0.0
Kumar Sangakkara,3095.0,2892.0,2573.0,2404.0,2205.0,1994.0,1775.0,1638.0,1494.0,1272.0,985.0,828.0,558.0,455.0,225.0,85.0
Virender Sehwag,2497.0,2466.0,2349.0,2130.0,1957.0,1664.0,1345.0,1231.0,977.0,776.0,467.0,272.0,125.0,20.0,1.0
