Player Name,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Asghar Afghan,82.0,67.0,101.0,62.0,54.0,90.0,43.0,66.0,15.0,64.0,30.0
Fareed Ahmad,0,0,1.0,0,0
Javed Ahmadi,24.0,76.0,81.0,39.0,81.0,67.0,43.0,35.0
Dawlat Ahmadzai,0,0
Raees Ahmadzai,33.5,22.5
Yamin Ahmadzai,2.0,1.0,3.0,1.0
Aftab Alam,5.0,16.0,0,14.0,1.0,0,1.0,6.0
Mirwais Ashraf,18.0,28.0,52.0,28.0,12.0,10.0,23.0,17.0
Sharafuddin Ashraf,6.0,21.0,0,14.0
Rokhan Barakzai,0
Izatullah Dawlatzai,2.0,0.0,1.0,6.0
Usman Ghani,73.0,26.0,23.0,42.0,69.0,118.0
Hasti Gul,0
Amir Hamza,21.0,4.0,4.0,1.0,3.0,3.0
Hamid Hassan,0,6.0,16.0,6.0,6.0,1.0,22.0,0.0
Ihsanullah,65.0,57.0,20.0
Nasir Jamal,51.0,53.0,52.0,39.0
Karim Janat,0.0,0.0,22.0,25.0
Rashid Khan,52.0,57.0,56.0,60.0,15.0
Zahir Khan,0
Ikram Ali Khil,6.5
Nowroz Mangal,34.0,33.0,65.0,129.0,112.0,45.0,34.0,70.0,32.0
Abdullah Mazari,3.0
Mohammad Nabi,81.0,92.0,89.0,52.0,116.0,77.0,51.0,46.0,58.0,62.0,58.0
Gulbadin Naib,46.0,74.0,51.0,82.0,56.0,31.0,43.0,44.0,0.0
Naveen-ul-Haq,0
Khaleqdaad Noori,20.0,0.0
Shabir Noori,9.0,15.0,94.0,38.0
Noor-ul-Haq,6.0
Mohibullah Oryakhel,0
Karim Sadiq,28.0,72.0,26.0,12.0,34.0,100.0,34.0,114.0,20.0
Shafiqullah,12.0,24.0,50.0,35.0,35.0,56.0,9.0,8.0,23.0,0
Ahmed Shah,2.0
Rahmat Shah,113.0,114.0,108.0,100.0,23.0,35.0
Hashmatullah Shahidi,61.0,97.0,32.0,72.0,38.0,13.0
Mohammad Shahzad,101.0,124.0,80.0,118.0,131.0,68.0,55.0,77.0,8.0,118.0,110.0
Samiullah Shenwari,17.0,49.0,62.0,43.0,96.0,82.0,55.0,61.0,8.0,82.0,52.0
Sayed Shirzad,0,0,1.0
Najeeb Tarakai,17.0,90.0,40.0,7.0
Mujeeb Ur Rahman,1.0,15.0,4.0
Dawlat Zadran,2.0,47.0,41.0,31.0,25.0,24.0,8.0,12.0,0.0
Najibullah Zadran,104.0,81.0,45.0,89.0,83.0,21.0,38.0,23.0
Noor Ali Zadran,9.0,51.0,63.0,63.0,53.0,50.0,11.0,1.0,114.0,45.0
Shapoor Zadran,0,7.0,1.0,2.0,12.0,7.0,13.0,9.0,17.0,1.0
Zakiullah Zaki,0
Afsar Zazai,6.0,13.0,48.0,60.0,9.0
Hazratullah Zazai,162.0,82.0,18.0
Nicky Boje,48.0,82.0,50.0,29.0,52.0,46.0,129.0,12.0,28.0,13.0,0
Loots Bosman,68.0,94.0,28.0,53.0,88.0
Johan Botha,14.0,44.0,28.0,21.0,26.0,28.0,46.0,15.0
Mark Boucher,46.0,65.0,95.0,89.0,117.0,78.0,147.0,64.0,122.0,72.0,70.0,92.0,76.0,125.0,78.0,6.0
Elton Chigumbura,37.0,54.0,117.0,90.0,86.0,63.0,47.0,50.0,79.0,42.0,77.0,70.0,71.0,77.0
A. B. de Villiers,126.0,176.0,101.0,162.0,152.0,164.0,169.0,134.0,278.0,163.0,217.0,146.0,97.0,178.0,52.0
Boeta Dippenaar,67.0,125.0,123.0,110.0,177.0,93.0,81.0,100.0,33.0
Jacques Kallis,4.0,115.0,224.0,161.0,201.0,120.0,132.0,186.0,119.0,149.0,162.0,177.0,139.0,189.0,160.0,148.0,132.0,101.0,67.0,1.0
Justin Kemp,89.0,100.0,80.0,10.0,46.0
Albie Morkel,0,18.0,41.0,40.0,58.0,37.0,97.0,27.0,16.0,23.0
Morné Morkel,20.0,40.0,32.0,22.0,22.0,19.0,35.0,28.0,35.0,40.0,35.0,25.0,31.0
Thomas Odoyo,2.0,7.0,51.0,52.0,36.0,45.0,111.0,84.0,3.0,15.0,46.0,37.0,53.0,35.0,41.0,21.0,41.0,32.0
Peter Ongondo,6.0,18.0,10.0,16.0,27.0,2.0,24.0,2.0,36.0,0.0
Justin Ontong,19.0,0.0,48.0,0,27.0,11.0,16.0,32.0,32.0
Shaun Pollock
Ashwell Prince,50.0,78.0,150.0,162.0,138.0,121.0,139.0,47.0,49.0
Jacques Rudolph,105.0,44.0,90.0,102.0,154.0,222.0
Vusi Sibanda,59.0,49.0,45.0,103.0,11.0,96.0,95.0,77.0,59.0,96.0,116.0,21.0,57.0,58.0
Graeme Smith,14.0,234.0,131.0,101.0,183.0,141.0,232.0,133.0,119.0,148.0,139.0,277.0,200.0
Dale Steyn,15.0,60.0,13.0,17.0,58.0,44.0,26.0,43.0,39.0,47.0,76.0,33.0,13.0,8.0,8.0
Heath Streak,85.0,68.0,127.0,50.0,87.0,54.0,39.0,59.0,43.0,36.0,53.0,20.0,19.0
Tatenda Taibu,50.0,98.0,78.0,103.0,81.0,107.0,153.0,96.0,83.0,51.0,19.0
Steve Tikolo,7.0,40.0,13.0,57.0,60.0,102.0,89.0,111.0,43.0,2.0,56.0,93.0,71.0,5.0,106.0,77.0,32.0,96.0
Monde Zondeki,0.0,0.0,14.0,59.0,3.0
Shahid Afridi,11.0,49.0,67.0,61.0,88.0,52.0,75.0,124.0,70.0,85.0,77.0,156.0,122.0,80.0,9.0,108.0,70.0,74.0,141.0,109.0,72.0,102.0
Shoaib Akhtar,2.0,8.0,25.0,0,4.0,47.0,38.0,28.0,43.0,37.0,3.0,26.0,8.0,36.0,1.0
